Name,Population,Pop2000,IncomePerCapita,PercentCollegeGrad,MedianRent,CommuteTime,LandArea
"Buena Vista, VA",6650,6349.0,0,14.8,$486,15.1,6.7
"Campbell, VA",54842,51078.0,29445,16.2,$450,23.0,503.87
"Caroline, VA",28545,22121.0,30241,14.8,$623,37.2,527.51
"Carroll, VA",30042,29245.0,25488,13.0,$357,25.7,474.69
"Charles City, VA",7256,6926.0,32615,11.2,$554,32.4,182.82
"Charlotte, VA",12586,12472.0,23814,13.1,$331,31.1,475.27
"Charlottesville, VA",43475,45049.0,0,43.3,$737,15.9,10.24
"Chesapeake, VA",222209,199184.0,37025,27.6,$790,23.8,340.8
"Chesterfield, VA",316236,259903.0,41888,36.1,$820,24.9,423.3
"Clarke, VA",14034,12652.0,39606,27.4,$746,30.7,176.18
"Clifton Forge, VA",0,4289.0,0,0.0,$0,0.0,0.0
"Colonial Heights, VA",17411,16897.0,0,20.2,$674,21.8,7.52
"Covington, VA",5961,6303.0,0,9.8,$366,17.6,5.47
"Craig, VA",5190,5091.0,27896,14.3,$344,41.4,329.53
"Culpeper, VA",46689,34262.0,32703,21.2,$745,37.4,379.23
"Cumberland, VA",10052,9017.0,26151,10.5,$464,36.8,297.46
"Danville, VA",43055,48411.0,0,15.7,$379,17.8,42.93
"Dickenson, VA",15903,16395.0,22694,9.9,$302,34.4,330.53
"Dinwiddie, VA",28001,24533.0,31826,13.8,$626,29.6,503.72
"Emporia, VA",5927,5665.0,0,15.9,$382,15.0,6.89
"Essex, VA",11151,9989.0,28383,17.6,$545,32.7,257.12
"Fairfax, VA",1081726,969749.0,67909,58.4,$1341,31.0,390.97
"Fairfax City, VA",22565,21498.0,0,50.9,$1356,31.1,6.24
"Falls Church, VA",12332,10377.0,0,69.5,$1247,26.7,2.0
"Fauquier, VA",65203,55139.0,50854,29.0,$950,37.9,647.45
"Floyd, VA",15279,13874.0,25523,18.4,$348,32.6,380.42
"Fluvanna, VA",25691,20047.0,32259,25.8,$718,29.5,286.01
"Franklin, VA",56159,47286.0,30248,14.3,$431,27.3,690.43
"Franklin City, VA",8582,8346.0,0,21.0,$502,22.5,8.21
"Frederick, VA",78305,59209.0,34417,22.6,$817,30.1,413.5
"Fredericksburg, VA",24286,19279.0,0,31.5,$862,27.2,10.44
"Galax, VA",7042,6837.0,0,13.2,$296,27.4,8.24
"Giles, VA",17286,16657.0,25769,13.8,$360,26.5,355.78
"Gloucester, VA",36858,34780.0,32739,17.4,$556,31.4,217.81
"Goochland, VA",21717,16863.0,58642,27.6,$754,30.5,281.42
"Grayson, VA",15533,17917.0,22713,9.1,$305,25.2,442.18
